class_id,paper_id,year,session,variant,test_path,page_count
9,2023-esantion-test-1,2023,Esantion,Test 1,!Teste examene 2016 - 2024/2023/Esantion/09_IST_TEST1_RO_ES23.pdf,7
9,2023-esantion-test-2,2023,Esantion,Test 2,!Teste examene 2016 - 2024/2023/Esantion/09_IST_TEST2_RO_ES23.pdf,7
9,2023-pretestare-test,2023,Pretestare,,!Teste examene 2016 - 2024/2023/Pretestare/09_ist_test_ro_pr23.pdf,7
9,2023-sesiunea-de-baza-test,2023,Sesiunea de baza,,!Teste examene 2016 - 2024/2023/Sesiunea de baza/09_ist_test_ro_sb23.pdf,7
9,2023-sesiunea-suplimentara-test,2023,Sesiunea suplimentara,,!Teste examene 2016 - 2024/2023/Sesiunea suplimentara/09_ist_test_ro_ss23.pdf,7
9,2024-esantion-test-2,2024,Esantion,Test 2,!Teste examene 2016 - 2024/2024/Esantion/09_IST_TEST2_RO_ES24.pdf,7
9,2024-pretestare-test,2024,Pretestare,,!Teste examene 2016 - 2024/2024/Pretestare/09_IST_TEST_RO_PR24.pdf,7
9,2024-sesiunea-de-baza-test,2024,Sesiunea de bază,,!Teste examene 2016 - 2024/2024/Sesiunea de bază/09_ist_test_ro_sb24.pdf,7
9,2024-suplimentara-test,2024,Suplimentară,,!Teste examene 2016 - 2024/2024/Suplimentară/09_ist_test_ro_ss24.pdf,7
9,2025-esantion-test-1,2025,Esantion,Test 1,!Teste examene 2016 - 2024/2025/Esantion/09_ist_test1_ro_es25.pdf,7
9,2025-esantion-test-2,2025,Esantion,Test 2,!Teste examene 2016 - 2024/2025/Esantion/09_ist_test2_ro_es25.pdf,7
9,2025-pretestare-test,2025,Pretestare,,!Teste examene 2016 - 2024/2025/Pretestare/09_ist_test_ro_pr25.pdf,8
9,2025-sesiunea-de-baza-test,2025,Sesiunea de bază,,!Teste examene 2016 - 2024/2025/Sesiunea de bază/09_ist_test_ro_sb25.pdf,7
9,2025-suplimentara-test,2025,Suplimentară,,!Teste examene 2016 - 2024/2025/Suplimentară/09_ist_test_ro_ss25.pdf,7
9,2026-esantion-test-1,2026,Esantion,Test 1,!Teste examene 2016 - 2024/2026/Esantion/09_ist_test1_ro_es26.pdf,7
