class_id,epoch_id,topic_id,topic_uid,topic_number,display_title,quiz_link,notebook_link,doc_link,doc_links,sort_order,status
12,medievala,medievala-4,12-medievala-4,4,Premisele constituirii statelor medievale.,https://forms.gle/pE7CAjA932jL2X9w7,https://notebooklm.google.com/notebook/fe50cdee-30f6-4b2,https://docs.google.com/document/d/1AH_YvGu9d6Wj5GR6I58ptKQq3O_jARPWiM1AM2FrX6U/edit?usp=sharing,['https://docs.google.com/document/d/1AH_YvGu9d6Wj5GR6I58ptKQq3O_jARPWiM1AM2FrX6U/edit?usp=sharing'],15,ready
12,medievala,medievala-5,12-medievala-5,5,Viaţa economică în societatea medievală. Apariţia şi dezvoltarea oraşelor medievale,https://forms.gle/r2SUQNzfYEuc9i5n7,https://notebooklm.google.com/notebook/425d1e7e-5349-42fc-934f-b09d5500c17c,https://docs.google.com/document/d/1cs96oi7JWMW1_4D7WEX4Tym3kDSSvM3aWTYlUDwgCzI/edit?usp=sharing,['https://docs.google.com/document/d/1cs96oi7JWMW1_4D7WEX4Tym3kDSSvM3aWTYlUDwgCzI/edit?usp=sharing'],16,ready
12,medievala,medievala-6,12-medievala-6,6,Viaţa socială în epoca medievală. Ierarhia feudală,https://forms.gle/CDfj6Ehp1YvwXuzt8,https://notebooklm.google.com/notebook/97e95c56-747b-4473-a067-93aee2d4eb43,https://docs.google.com/document/d/1j08QEZf6tcXEi38RZPfxhO9sd5-EJ8_SBHoXXeQeHvc/edit?usp=sharing,['https://docs.google.com/document/d/1j08QEZf6tcXEi38RZPfxhO9sd5-EJ8_SBHoXXeQeHvc/edit?usp=sharing'],17,ready
12,medievala,medievala-7,12-medievala-7,7,Organizarea politică internă a Ţărilor Române în sec. XIV- mijl.sec. XVII,https://forms.gle/5u1WX7F1bnotcj5t9,https://notebooklm.google.com/notebook/37ded6a9-29b4-4605-b54a-d4ac628aaed7,https://docs.google.com/document/d/1YZHlml6mzg3idYoxGhY3fIdoXYcqGQLiLZ70uXr5XoU/edit?usp=sharing,['https://docs.google.com/document/d/1YZHlml6mzg3idYoxGhY3fIdoXYcqGQLiLZ70uXr5XoU/edit?usp=sharing'],18,ready
12,medievala,medievala-8,12-medievala-8,8,Cruciadele medievale,https://forms.gle/9z7CTw5JdJ1xi4f28,https://notebooklm.google.com/notebook/04f99e91-d6dc-4bba-8729-38a82d40953e,https://docs.google.com/document/d/1nToL5rv7GVso0XBd0YoGsbrboqrfXbtnsWUMY41Qp7g/edit?usp=sharing,['https://docs.google.com/document/d/1nToL5rv7GVso0XBd0YoGsbrboqrfXbtnsWUMY41Qp7g/edit?usp=sharing'],19,ready
12,medievala,medievala-9,12-medievala-9,9,Consolidarea poziţiei Moldovei şi Ţării Româneşti în timpul domniei lui Mircea cel Bătrân şi Alexandru cel Bun,https://forms.gle/Ls1TjtwZvFGi3eEe7,https://notebooklm.google.com/notebook/fa9d19b9-335f-4bd5-a9f6-141fe10843ee,https://docs.google.com/document/d/1CgJdqwEAE4UJ6sNAtSpKiXTzDT-Gp9crHSPKGAWJprM/edit?usp=sharing,['https://docs.google.com/document/d/1CgJdqwEAE4UJ6sNAtSpKiXTzDT-Gp9crHSPKGAWJprM/edit?usp=sharing'],20,ready
12,medievala,medievala-10,12-medievala-10,10,Țările Române în lupta antiotomană de la mijlocul secolului al XV-lea. Iancu de Hunedoara şi Vlad Ţepeş,https://forms.gle/4Y6Dgnkta7c3pf29A,https://notebooklm.google.com/notebook/e3137d36-a8dd-49c1-99d8-269ab09eb22f,https://docs.google.com/document/d/1db2fQeTALDL7O6qq-wx66Dn2yXcqaGji2D4xLqLU7IM/edit?usp=sharing,['https://docs.google.com/document/d/1db2fQeTALDL7O6qq-wx66Dn2yXcqaGji2D4xLqLU7IM/edit?usp=sharing'],21,ready
12,medievala,medievala-11,12-medievala-11,11,Epoca lui Ştefan cel Mare,https://forms.gle/3sa2ECK1Pqwnefje6,,https://docs.google.com/document/d/1fS2D8KS7lErv_WAfTwOEdrXex3Cy-oElGIdzINnsxoY/edit?usp=sharing,['https://docs.google.com/document/d/1fS2D8KS7lErv_WAfTwOEdrXex3Cy-oElGIdzINnsxoY/edit?usp=sharing'],22,ready
12,medievala,medievala-12,12-medievala-12,12,Situaţia politică a Ţării Româneşti şi Moldovei în prima jumătate a secolului al XVI-lea. Regimul de suzeranitate otomană şi formele lui de manifestare,https://forms.gle/497snV7Sc34DXoz36,https://notebooklm.google.com/notebook/a70df492-64e1-49ff-8eba-be6d62a99c19,https://docs.google.com/document/d/1LRIWvU6CJA1fRt3DXYeW4aptufALYmYhaSqybA9WMiQ/edit?usp=sharing,['https://docs.google.com/document/d/1LRIWvU6CJA1fRt3DXYeW4aptufALYmYhaSqybA9WMiQ/edit?usp=sharing'],23,ready
12,medievala,medievala-13,12-medievala-13,13,Războiul antiotoman de sub conducerea lui,https://forms.gle/17e5AJSaztFeLwye7,https://notebooklm.google.com/notebook/945ce5ab-73a2-4e,https://docs.google.com/document/d/1zK4DBXFEDHh0XHNHCnv_jZBCav9AfVvA4d_glrYOdNI/edit?usp=sharing,['https://docs.google.com/document/d/1zK4DBXFEDHh0XHNHCnv_jZBCav9AfVvA4d_glrYOdNI/edit?usp=sharing'],24,ready
